Name,three_pct_season,lwr_paint_pct_oct_nov,upr_paint_pct_oct_nov,mid_pct_oct_nov,three_non_cnr_pct_oct_nov,three_cnr_pct_oct_nov,ft_pct_oct_nov,lwr_paint_shots_oct_nov,upr_paint_shots_oct_nov,mid_shots_oct_nov,three_non_cnr_shots_oct_nov,three_cnr_shots_oct_nov,ft_shots_oct_nov,total_attempts,total_points,ts_pct
Jordan Poole,0.342,0.579,0.423,0.444,0.296,0.326,0.842,76,26,27,54,86,76,345,330.032,0.4360427016171652
Julius Randle,0.342,0.583,0.521,0.286,0.31,0.338,0.766,120,48,14,58,71,128,439,421.926,0.42591254138738593
Trae Young,0.34,0.448,0.506,0.414,0.347,0.284,0.899,143,87,58,72,74,179,613,563.117,0.4070176072626344
Jalen Green,0.34,0.554,0.419,0.314,0.268,0.387,0.791,130,31,35,56,93,110,455,432.005,0.42908720699245134
Joel Embiid,0.338,0.623,0.481,0.571,0.211,0.321,0.839,106,79,42,19,28,168,442,435.981,0.42252771747557766
Gabe Vincent,0.334,0.576,0.474,0.5,0.371,0.265,0.84,33,19,10,35,49,25,171,164.938,0.4531263736263736
Kyle Kuzma,0.333,0.614,0.515,0.313,0.38,0.25,0.731,153,33,16,71,84,78,435,432.84799999999996,0.4611437824938208
Jalen Suggs,0.332,0.571,0.409,0.571,0.25,0.325,0.657,42,22,14,24,40,35,177,161.94299999999998,0.42084979209979206
Pascal Siakam,0.329,0.608,0.48,0.346,0.348,0.389,0.731,79,50,26,23,18,78,274,264.092,0.4282758173326414
Reggie Jackson,0.329,0.549,0.475,0.391,0.394,0.311,0.921,71,40,23,33,61,38,266,264.861,0.4684157470288624
Jaylen Brown,0.328,0.621,0.605,0.529,0.286,0.32,0.832,161,43,34,35,75,101,449,474.026,0.48032790207522696
Terry Rozier,0.328,0.526,0.368,0.174,0.25,0.329,0.794,97,38,23,40,73,34,305,267.063,0.4173381047630954
