Name,three_pct_season,lwr_paint_pct_oct_nov,upr_paint_pct_oct_nov,mid_pct_oct_nov,three_non_cnr_pct_oct_nov,three_cnr_pct_oct_nov,ft_pct_oct_nov,lwr_paint_shots_oct_nov,upr_paint_shots_oct_nov,mid_shots_oct_nov,three_non_cnr_shots_oct_nov,three_cnr_shots_oct_nov,ft_shots_oct_nov,net_avg_pct_oct_nov,total_attempts,total_points,ts_pct
Jerami Grant,1.060472780637045,-0.3647870484405079,-0.5050490218565781,-0.3862337688353572,1.2431101426597004,1.7527757354568623,-0.433410249674601,0.5579904665624159,0.022513124353155816,0.9163291655315231,1.5761021899772125,0.12638905840744719,1.3564166693525637,0.6057871421151385,1.0429046987245991,1.0746050009346988,-0.20706324653325986
Kevin Huerter,1.060472780637045,1.171251988306853,-0.16427833963654107,-1.0089434677936364,0.5851598314116764,1.8258362446924243,-1.4384965955457631,-0.8451054679833562,-0.8402478992451994,-0.7766709101316952,1.8436370214389635,0.6279645342921194,-0.48612624640010493,-0.0969292468196318,-0.37236196128318244,-0.0318623234923222,1.9246624324049892
D'Angelo Russell,0.9590505443662452,0.4632339948061158,-0.1972561475933189,0.7678548732339866,-1.1844996264278365,0.08699612488604853,-0.5052021315225412,-0.7281808067712086,0.5715428666430182,-0.007125421193868693,0.1715443248030209,0.9145790919405036,-0.3343874180440028,-0.7961616072268443,-0.03302901940997168,-0.14385518481905057,-0.3742015203903777
Andrew Wiggins,0.8829838671631451,0.7032400942978911,0.1764923425834965,-0.3945365648214676,0.38096835550711766,1.2851884763492658,-1.3068781454912073,0.3007562118956911,-0.36965097728246016,0.06982912769991395,0.372195448399334,1.0937131904707436,-0.6595420502356502,-0.13455069231086492,0.08284076561990517,0.395300278724857,1.8682124190710225
Norman Powell,0.8576283080954452,-0.35278674346591915,-0.39512299533398526,-0.1537554812242662,0.38096835550711766,-0.42442743976288516,-0.25393054505475043,0.20721648292597292,-0.6049494382638297,-0.4688527145565646,0.372195448399334,-0.41101323718327304,0.2725678953804057,0.10352121088185079,-0.04958184584281123,-0.1516614668903418,-0.7444018118104709
Lauri Markkanen,0.8322727490277452,1.3152556480019184,0.5502408327603113,0.7678548732339866,0.8801030743849289,0.20389293966294786,0.24861262788082994,1.3530781628050201,-0.13435251630109057,-0.6227618123441299,1.5761021899772125,0.9504059116465515,0.6844304294898258,1.2731390660414885,1.0594575251574385,1.501609421144355,1.450812193709133
De'Anthony Melton,0.7562060718246453,-1.612818765797739,0.08855152136542228,1.8970351273449992,-0.19757415955580063,0.05777192119182371,-1.6060109865242904,-0.47094655210448366,-0.879464309408761,-1.0075345568130432,0.23842803266845858,0.23386951752559124,-1.049727608865627,-1.7038635373055075,-0.7779062088877514,-0.8236819076537203,0.04576804417885841
Cory Joseph,0.7562060718246453,-0.9048007722970025,0.7041372698919411,-0.8927043239880909,-0.662676965782852,2.1180782816346726,-1.8931785139160513,-1.5934232997411013,-0.879464309408761,-1.0844891057068258,-1.7680832032946725,-1.5574714677768096,-1.2014664372217292,-0.9794042162099392,-1.9034984063208407,-1.8668447926697855,-0.2871293935137532
Jrue Holiday,0.7308505127569452,0.22322789531434042,-1.131627373035356,0.0787228063868244,0.44903218080863744,-0.950463106258932,0.8827742508709687,0.18383155068354337,-0.291218156955337,-0.007125421193868693,-0.49729275385135613,0.16221587811349522,-0.637865074756207,-0.4541264510202732,-0.26476858946972537,-0.3012858278069405,0.07044094705164246
Tobias Harris,0.7308505127569452,-0.02877850915202372,0.42932220358545925,-0.06242472537705185,0.38096835550711766,-0.6143847637753466,0.2845085688048001,0.6749151277745636,-0.016703285810405782,-1.0844891057068258,1.041032527053711,-0.339359597771177,-0.637865074756207,-0.19588865609446396,-0.07441108549207055,0.01662837091404555,0.7926479855135349
Brandon Ingram,0.7054949536892453,-1.0128035170683014,0.6161964486738669,-0.5522896885575647,1.288486026194047,1.5920426151386264,0.7990170553817051,-0.8217205357409267,0.9637069682786342,1.3011019100004364,-0.96547870890942,-1.0558959918921373,0.14250604250374674,0.6773134938033372,-0.2564921762533056,-0.29374054604806343,-0.5082348926668646
Donovan Mitchell,0.6801393946215453,1.0632492435355543,0.18748494523575576,-0.13714988925204538,0.936822928802862,0.9491101338656802,1.0024273872842024,0.4410658053502683,0.493110046315895,1.6858746544693495,0.6397302798610848,2.204344601358232,0.9445541352431437,1.0216798318507423,1.3905140538142295,1.7398631608764423,1.0502493404864082
Devin Vassell,0.6547838355538453,-0.7967980275257036,0.6052038460216077,0.6516157294284411,1.7876207450718589,0.013935615650486463,-0.06248552679357644,-0.7749506712560676,0.5715428666430182,0.9932837144253057,0.1715443248030209,0.5563108948800234,-0.3343874180440028,-0.15123195032679038,-0.024752606193551907,0.0860860904176702,0.6719723275256247
OG Anunoby,0.6547838355538453,0.4152327749077607,-1.7032427109528379,-0.959126691876974,-0.5946131404813322,0.598419689534983,0.5477454689139143,1.6570822819566042,-0.33043456711889857,-0.007125421193868693,0.7734976955919601,-0.339359597771177,0.055798140585974106,0.2474623912891527,0.5545963189558323,0.553466468047732,0.15063514331908204
Kristaps Porzingis,0.6547838355538453,0.40323246993317197,0.7041372698919411,-1.2165133674463957,0.50575203522657,0.1308324304273858,-0.07445084043489981,0.5112206020775569,1.0029233784421958,-0.08407997008765133,1.1079162349191487,0.3055231569376873,1.2480317919553479,0.6981909718142646,1.0677339383738584,1.0441549644864008,-0.32168394548106266
AJ Griffin,0.6547838355538453,1.4952602226207485,1.1658265812868307,-0.6187120564464478,-0.3790776936931861,0.5838075876878707,2.378438456036389,-1.5934232997411013,-0.6441658484273913,-0.9305800079192604,-0.8317112931785446,-0.6976277948316572,-1.3532052655778313,-0.7597477986952759,-1.5807182908804696,-1.4318679992809387,1.8811164308668458
